azon;terazon;ev;lakas
1253;113;2015;42502
1254;114;2015;105746
1255;115;2015;69166
1256;116;2015;71421
1257;117;2015;100448
1258;118;2015;80898
1259;119;2015;106640
1260;100;2016;637192
1261;101;2016;311452
1262;102;2016;103669
1263;103;2016;86821
1264;104;2016;106913
1265;105;2016;118315
1266;106;2016;61096
1267;107;2016;69630
1268;108;2016;94243
1269;109;2016;61109
1270;110;2016;66005
1271;111;2016;141679
1272;112;2016;66637
1273;113;2016;43113
1274;114;2016;108889
1275;115;2016;70923
1276;116;2016;71831
1277;117;2016;103679
1278;118;2016;83194
1279;119;2016;107335
1280;100;2017;642774
1281;101;2017;330274
1282;102;2017;107699
1283;103;2017;78248
1284;104;2017;108451
1285;105;2017;119311
1286;106;2017;61533
1287;107;2017;70359
1288;108;2017;96553
1289;109;2017;61712
1290;110;2017;67214
1291;111;2017;146325
1292;112;2017;70227
1293;113;2017;44249
1294;114;2017;114418
1295;115;2017;75795
1296;116;2017;74367
1297;117;2017;107913
1298;118;2017;85422
1299;119;2017;110502
1300;100;2018;649077
1301;101;2018;344049
1302;102;2018;110020
1303;103;2018;80265
1304;104;2018;111852
1305;105;2018;121062
1306;106;2018;62540
1307;107;2018;72229
1308;108;2018;99716
1309;109;2018;62497
1310;110;2018;67219
1311;111;2018;152249
1312;112;2018;75179
1313;113;2018;46184
1314;114;2018;120807
1315;115;2018;80889
1316;116;2018;78538
1317;117;2018;112473
1318;118;2018;91591
1319;119;2018;113914
1320;100;2019;650419
1321;101;2019;366982
1322;102;2019;113767
1323;103;2019;82593
1324;104;2019;113660
1325;105;2019;123631
1326;106;2019;65540
1327;107;2019;75432
1328;108;2019;102324
1329;109;2019;64094
1330;110;2019;66635
1331;111;2019;157934
1332;112;2019;80867
1333;113;2019;48571
1334;114;2019;128741
1335;115;2019;82498
1336;116;2019;87062
1337;117;2019;114511
1338;118;2019;89721
1339;119;2019;117131
